Province/State,Country/Region,Date,Deaths
,,,Deaths
Hubei,Hubei,4/16/2020,3222
Hubei,Hubei,4/15/2020,3222
Hubei,Hubei,4/14/2020,3221
Hubei,Hubei,4/13/2020,3221
Hubei,Hubei,4/12/2020,3219
Hubei,Hubei,4/11/2020,3219
Hubei,Hubei,4/10/2020,3216
Hubei,Hubei,4/9/2020,3215
Hubei,Hubei,4/8/2020,3213
Hubei,Hubei,4/7/2020,3212
Hubei,Hubei,4/6/2020,3212
Hubei,Hubei,4/5/2020,3210
Hubei,Hubei,4/4/2020,3207
Hubei,Hubei,4/3/2020,3203
Hubei,Hubei,4/2/2020,3199
Hubei,Hubei,4/1/2020,3193
Hubei,Hubei,3/31/2020,3187
Hubei,Hubei,3/30/2020,3186
Hubei,Hubei,3/29/2020,3182
Hubei,Hubei,3/28/2020,3177
Hubei,Hubei,3/27/2020,3174
Hubei,Hubei,3/26/2020,3169
Hubei,Hubei,3/25/2020,3163
Hubei,Hubei,3/24/2020,3160
Hubei,Hubei,3/23/2020,3153
Hubei,Hubei,3/22/2020,3153
Hubei,Hubei,3/21/2020,3139
Hubei,Hubei,3/20/2020,3133
Hubei,Hubei,3/19/2020,3130
Hubei,Hubei,3/18/2020,3122
Hubei,Hubei,3/17/2020,3111
Hubei,Hubei,3/16/2020,3099
Hubei,Hubei,3/15/2020,3085
Hubei,Hubei,3/14/2020,3075
Hubei,Hubei,3/13/2020,3062
Hubei,Hubei,3/12/2020,3056
Hubei,Hubei,3/11/2020,3046
Hubei,Hubei,3/10/2020,3024
Hubei,Hubei,3/9/2020,3008
Hubei,Hubei,3/8/2020,2986
Hubei,Hubei,3/7/2020,2959
Hubei,Hubei,3/6/2020,2931
Hubei,Hubei,3/5/2020,2902
Hubei,Hubei,3/4/2020,2871
Hubei,Hubei,3/3/2020,2835
Hubei,Hubei,3/2/2020,2803
Hubei,Hubei,3/1/2020,2761
Hubei,Hubei,2/29/2020,2727
Hubei,Hubei,2/28/2020,2682
Hubei,Hubei,2/27/2020,2641
Hubei,Hubei,2/26/2020,2615
Hubei,Hubei,2/25/2020,2563
Hubei,Hubei,2/24/2020,2495
Hubei,Hubei,2/23/2020,2346
Hubei,Hubei,2/22/2020,2346
Hubei,Hubei,2/21/2020,2144
Hubei,Hubei,2/20/2020,2144
Hubei,Hubei,2/19/2020,2029
Hubei,Hubei,2/18/2020,1921
Hubei,Hubei,2/17/2020,1789
Hubei,Hubei,2/16/2020,1696
Hubei,Hubei,2/15/2020,1596
Hubei,Hubei,2/14/2020,1457
Hubei,Hubei,2/13/2020,1310
Hubei,Hubei,2/12/2020,1068
Hubei,Hubei,2/11/2020,1068
Hubei,Hubei,2/10/2020,974
Hubei,Hubei,2/9/2020,871
Hubei,Hubei,2/8/2020,780
Hubei,Hubei,2/7/2020,699
Hubei,Hubei,2/6/2020,618
Hubei,Hubei,2/5/2020,549
Hubei,Hubei,2/4/2020,479
Hubei,Hubei,2/3/2020,414
Hubei,Hubei,2/2/2020,350
Hubei,Hubei,2/1/2020,249
Hubei,Hubei,1/31/2020,204
Hubei,Hubei,1/30/2020,162
Hubei,Hubei,1/29/2020,125
Hubei,Hubei,1/28/2020,125
Hubei,Hubei,1/27/2020,76
Hubei,Hubei,1/26/2020,52
Hubei,Hubei,1/25/2020,40
Hubei,Hubei,1/24/2020,24
Hubei,Hubei,1/23/2020,17
Hubei,Hubei,1/22/2020,17
,Germany,4/26/2020,5976
,Germany,4/25/2020,5877
,Germany,4/24/2020,5760
,Germany,4/23/2020,5575
,Germany,4/22/2020,5279
,Germany,4/21/2020,5033
,Germany,4/20/2020,4862
,Germany,4/19/2020,4586
,Germany,4/18/2020,4459
,Germany,4/17/2020,4352
,Germany,4/16/2020,4052
,Germany,4/15/2020,3804
,Germany,4/14/2020,3294
,Germany,4/13/2020,3194
,Germany,4/12/2020,3022
,Germany,4/11/2020,2736
,Germany,4/10/2020,2767
,Germany,4/9/2020,2607
,Germany,4/8/2020,2349
,Germany,4/7/2020,2016
,Germany,4/6/2020,1810
,Germany,4/5/2020,1584
,Germany,4/4/2020,1444
,Germany,4/3/2020,1275
,Germany,4/2/2020,1107
,Germany,4/1/2020,920
,Germany,3/31/2020,775
,Germany,3/30/2020,645
,Germany,3/29/2020,533
,Germany,3/28/2020,433
,Germany,3/27/2020,342
,Germany,3/26/2020,267
,Germany,3/25/2020,206
,Germany,3/24/2020,157
,Germany,3/23/2020,123
,Germany,3/22/2020,94
,Germany,3/21/2020,84
,Germany,3/20/2020,67
,Germany,3/19/2020,44
,Germany,3/18/2020,28
,Germany,3/17/2020,24
,Germany,3/16/2020,17
,Germany,3/15/2020,11
,Germany,3/14/2020,9
,Germany,3/13/2020,7
,Germany,3/12/2020,3
,Germany,3/11/2020,3
,Germany,3/10/2020,2
,Germany,3/9/2020,2
,Germany,3/8/2020,0
,Germany,3/7/2020,0
,Germany,3/6/2020,0
,Germany,3/5/2020,0
,Germany,3/4/2020,0
,Germany,3/3/2020,0
,Germany,3/2/2020,0
,Germany,3/1/2020,0
,Germany,2/29/2020,0
,Germany,2/28/2020,0
,Germany,2/27/2020,0
,Germany,2/26/2020,0
,Germany,2/25/2020,0
,Germany,2/24/2020,0
,Germany,2/23/2020,0
,Germany,2/22/2020,0
,Germany,2/21/2020,0
,Germany,2/20/2020,0
,Germany,2/19/2020,0
,Germany,2/18/2020,0
,Germany,2/17/2020,0
,Germany,2/16/2020,0
,Germany,2/15/2020,0
,Germany,2/14/2020,0
,Germany,2/13/2020,0
,Germany,2/12/2020,0
,Germany,2/11/2020,0
,Germany,2/10/2020,0
,Germany,2/9/2020,0
,Germany,2/8/2020,0
,Germany,2/7/2020,0
,Germany,2/6/2020,0
,Germany,2/5/2020,0
,Germany,2/4/2020,0
,Germany,2/3/2020,0
,Germany,2/2/2020,0
,Germany,2/1/2020,0
,Germany,1/31/2020,0
,Germany,1/30/2020,0
,Germany,1/29/2020,0
,Germany,1/28/2020,0
,Germany,1/27/2020,0
,Germany,1/26/2020,0
,Germany,1/25/2020,0
,Germany,1/24/2020,0
,Germany,1/23/2020,0
,Germany,1/22/2020,0
,Italy,4/26/2020,26644
,Italy,4/25/2020,26384
,Italy,4/24/2020,25969
,Italy,4/23/2020,25549
,Italy,4/22/2020,25085
,Italy,4/21/2020,24648
,Italy,4/20/2020,24114
,Italy,4/19/2020,23660
,Italy,4/18/2020,23227
,Italy,4/17/2020,22745
,Italy,4/16/2020,22170
,Italy,4/15/2020,21645
,Italy,4/14/2020,21067
,Italy,4/13/2020,20465
,Italy,4/12/2020,19899
,Italy,4/11/2020,19468
,Italy,4/10/2020,18849
,Italy,4/9/2020,18279
,Italy,4/8/2020,17669
,Italy,4/7/2020,17127
,Italy,4/6/2020,16523
,Italy,4/5/2020,15887
,Italy,4/4/2020,15362
,Italy,4/3/2020,14681
,Italy,4/2/2020,13915
,Italy,4/1/2020,13155
,Italy,3/31/2020,12428
,Italy,3/30/2020,11591
,Italy,3/29/2020,10779
,Italy,3/28/2020,10023
,Italy,3/27/2020,9134
,Italy,3/26/2020,8215
,Italy,3/25/2020,7503
,Italy,3/24/2020,6820
,Italy,3/23/2020,6077
,Italy,3/22/2020,5476
,Italy,3/21/2020,4825
,Italy,3/20/2020,4032
,Italy,3/19/2020,3405
,Italy,3/18/2020,2978
,Italy,3/17/2020,2503
,Italy,3/16/2020,2158
,Italy,3/15/2020,1809
,Italy,3/14/2020,1441
,Italy,3/13/2020,1266
,Italy,3/12/2020,827
,Italy,3/11/2020,827
,Italy,3/10/2020,631
,Italy,3/9/2020,463
,Italy,3/8/2020,366
,Italy,3/7/2020,233
,Italy,3/6/2020,197
,Italy,3/5/2020,148
,Italy,3/4/2020,107
,Italy,3/3/2020,79
,Italy,3/2/2020,52
,Italy,3/1/2020,34
,Italy,2/29/2020,29
,Italy,2/28/2020,21
,Italy,2/27/2020,17
,Italy,2/26/2020,12
,Italy,2/25/2020,10
,Italy,2/24/2020,7
,Italy,2/23/2020,3
,Italy,2/22/2020,2
,Italy,2/21/2020,1
,Italy,2/20/2020,0
,Italy,2/19/2020,0
,Italy,2/18/2020,0
,Italy,2/17/2020,0
,Italy,2/16/2020,0
,Italy,2/15/2020,0
,Italy,2/14/2020,0
,Italy,2/13/2020,0
,Italy,2/12/2020,0
,Italy,2/11/2020,0
,Italy,2/10/2020,0
,Italy,2/9/2020,0
,Italy,2/8/2020,0
,Italy,2/7/2020,0
,Italy,2/6/2020,0
,Italy,2/5/2020,0
,Italy,2/4/2020,0
,Italy,2/3/2020,0
,Italy,2/2/2020,0
,Italy,2/1/2020,0
,Italy,1/31/2020,0
,Italy,1/30/2020,0
,Italy,1/29/2020,0
,Italy,1/28/2020,0
,Italy,1/27/2020,0
,Italy,1/26/2020,0
,Italy,1/25/2020,0
,Italy,1/24/2020,0
,Italy,1/23/2020,0
,Italy,1/22/2020,0
